RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.367 , 34.237 , 6.065  , 2.167   , 25.077  ,   0.0000
    2 , 16.374 , 34.237 , 6.026  , 2.213   , 25.076  ,   0.0000
    4 , 16.369 , 34.238 , 6.031  , 2.27    , 25.077  ,   0.0000
    5 , 16.364 , 34.238 , 6.049  , 2.426   , 25.079  ,   0.0000
    6 , 16.321 , 34.239 , 6.035  , 1.944   , 25.087  ,   0.0000
    8 , 16.253 , 34.239 , 6.098  , 1.461   , 25.105  ,   0.0000
   10 , 16.204 , 34.238 , 6.094  , 1.647   , 25.115  ,   0.0000
   12 , 16.174 , 34.235 , 6.061  , 1.61    , 25.121  ,   0.0000
   14 , 16.116 , 34.234 , 6.066  , 1.885   , 25.132  ,   0.0000
   15 , 16.096 , 34.234 , 6.038  , 2.371   , 25.137  ,   0.0000
   16 , 16.056 , 34.235 , 6.002  , 3.921   , 25.146  ,   0.0000
   18 , 15.979 , 34.238 , 5.948  , 2.482   , 25.166  ,   0.0000
   20 , 15.928 , 34.235 , 5.879  , 2.323   , 25.175  ,   0.0000
   22 , 15.818 , 34.234 , 5.862  , 2.914   , 25.2    ,   0.0000
   24 , 15.529 , 34.222 , 5.788  , 3.258   , 25.258  ,   0.0000
   25 , 15.305 , 34.221 , 5.764  , 2.934   , 25.3    ,   0.0000
   26 , 15.244 , 34.22  , 5.69   , 3.694   , 25.321  ,   0.0000
   28 , 14.997 , 34.212 , 5.561  , 2.691   , 25.383  ,   0.0000
   30 , 13.837 , 34.21  , 5.561  , 2.18    , 25.596  ,   0.0000
   35 , 12.69  , 34.271 , 4.475  , 0.828   , 25.892  ,   0.0000
   40 , 12.281 , 34.278 , 4.241  , 0.616   , 25.977  ,   0.0000
   45 , 11.698 , 34.237 , 3.78   , 0.299   , 26.046  ,   0.0000
   50 , 11.574 , 34.239 , 3.731  , 0.243   , 26.076  ,   0.0000
   60 , 11.261 , 34.321 , 2.697  , 0.18    , 26.199  ,   0.0000
   70 , 11.013 , 34.355 , 2.286  , 0.099   , 26.271  ,   0.0000
   75 , 10.972 , 34.386 , 1.979  , 0.084   , 26.302  ,   0.0000
   80 , 10.926 , 34.421 , 1.782  , 0.078   , 26.338  ,   0.0000
   90 , 10.697 , 34.448 , 1.497  , 0.08    , 26.4    ,   0.0000
  100 , 10.579 , 34.461 , 1.207  , 0.085   , 26.43   ,   0.0000
  120 , 10.46  , 34.513 , 0.802  , 0.078   , 26.493  ,   0.0000
  125 , 10.383 , 34.523 , 0.656  , 0.083   , 26.514  ,   0.0000
  140 , 10.378 , 34.571 , 0.443  , 0.08    , 26.552  ,   0.0000
  150 , 10.276 , 34.575 , 0.407  , 0.082   , 26.574  ,   0.0000
  160 , 10.151 , 34.567 , 0.377  , 0.078   , 26.587  ,   0.0000
  170 , 10.068 , 34.57  , 0.374  , 0.078   , 26.604  ,   0.0000
  175 , 10.007 , 34.572 , 0.364  , 0.078   , 26.616  ,   0.0000
  180 , 9.952  , 34.57  , 0.353  , 0.078   , 26.625  ,   0.0000
  190 , 9.832  , 34.566 , 0.363  , 0.078   , 26.641  ,   0.0000
  200 , 9.766  , 34.567 , 0.343  , 0.078   , 26.654  ,   0.0000
  225 , 9.449  , 34.544 , 0.445  , 0.078   , 26.689  ,   0.0000
  250 , 9.051  , 34.527 , 0.556  , 0.078   , 26.74   ,   0.0000
  275 , 8.788  , 34.509 , 0.642  , 0.078   , 26.768  ,   0.0000
  300 , 8.484  , 34.491 , 0.794  , 0.078   , 26.802  ,   0.0000
  325 , 8.084  , 34.473 , 1.032  , 0.078   , 26.847  ,   0.0000
  350 , 7.934  , 34.466 , 1.137  , 0.08    , 26.864  ,   0.0000
  375 , 7.72   , 34.453 , 1.321  , 0.078   , 26.886  ,   0.0000
  400 , 7.456  , 34.432 , 1.652  , 0.078   , 26.907  ,   0.0000
  425 , 7.237  , 34.415 , 1.965  , 0.08    , 26.925  ,   0.0000
  450 , 7.009  , 34.399 , 2.249  , 0.078   , 26.944  ,   0.0000
  475 , 6.846  , 34.383 , 2.519  , 0.078   , 26.954  ,   0.0000
  500 , 6.742  , 34.374 , 2.858  , 0.077   , 26.961  ,   0.0000
  502 , 6.738  , 34.373 , 2.681  , 0.078   , 26.961  ,   0.0000
