RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.016 , 33.1   , 5.769  , 0.421   , 24.283  ,   0.0000
    2 , 16.015 , 33.1   , 5.778  , 0.44    , 24.283  ,   0.0000
    4 , 16.015 , 33.1   , 5.76   , 0.47    , 24.283  ,   0.0000
    5 , 16.015 , 33.099 , 5.762  , 0.446   , 24.282  ,   0.0000
    6 , 16.015 , 33.098 , 5.759  , 0.469   , 24.282  ,   0.0000
    8 , 16.014 , 33.1   , 5.766  , 0.504   , 24.283  ,   0.0000
   10 , 16.017 , 33.1   , 5.748  , 0.444   , 24.283  ,   0.0000
   12 , 16.017 , 33.1   , 5.753  , 0.474   , 24.283  ,   0.0000
   14 , 16.014 , 33.1   , 5.75   , 0.445   , 24.283  ,   0.0000
   15 , 16.008 , 33.1   , 5.753  , 0.459   , 24.285  ,   0.0000
   16 , 16.007 , 33.1   , 5.757  , 0.482   , 24.285  ,   0.0000
   18 , 15.992 , 33.102 , 5.762  , 0.488   , 24.29   ,   0.0000
   20 , 15.945 , 33.107 , 5.789  , 0.505   , 24.308  ,   0.0000
   22 , 15.534 , 33.174 , 5.946  , 0.537   , 24.459  ,   0.0000
   24 , 14.826 , 33.246 , 5.978  , 0.55    , 24.656  ,   0.0000
   25 , 14.591 , 33.269 , 6.043  , 0.596   , 24.727  ,   0.0000
   26 , 14.241 , 33.298 , 6.16   , 0.533   , 24.812  ,   0.0000
   28 , 14.042 , 33.343 , 6.196  , 0.499   , 24.895  ,   0.0000
   30 , 13.946 , 33.349 , 5.986  , 0.644   , 24.925  ,   0.0000
   35 , 13.57  , 33.387 , 5.839  , 0.579   , 25.028  ,   0.0000
   40 , 13.214 , 33.476 , 5.655  , 0.818   , 25.177  ,   0.0000
   45 , 11.447 , 33.594 , 5.016  , 0.941   , 25.598  ,   0.0000
   50 , 10.86  , 33.63  , 4.87   , 0.522   , 25.732  ,   0.0000
   60 , 10.179 , 33.773 , 4.692  , 0.299   , 25.964  ,   0.0000
   70 , 10.029 , 33.846 , 4.705  , 0.309   , 26.047  ,   0.0000
   75 , 9.83   , 33.89  , 4.687  , 0.288   , 26.112  ,   0.0000
   80 , 9.709  , 33.92  , 4.62   , 0.284   , 26.157  ,   0.0000
   90 , 9.632  , 33.989 , 4.309  , 0.272   , 26.224  ,   0.0000
  100 , 9.508  , 34.049 , 3.829  , 0.271   , 26.292  ,   0.0000
  120 , 9.172  , 34.15  , 3.025  , 0.271   , 26.423  ,   0.0000
  125 , 9.47   , 34.234 , 3.075  , 0.268   , 26.445  ,   0.0000
  140 , 8.902  , 34.218 , 2.446  , 0.262   , 26.52   ,   0.0000
  150 , 8.78   , 34.221 , 3.136  , 0.26    , 26.54   ,   0.0000
  160 , 9.027  , 34.312 , 2.291  , 0.259   , 26.574  ,   0.0000
  170 , 9.099  , 34.356 , 1.814  , 0.262   , 26.598  ,   0.0000
  175 , 9.116  , 34.37  , 1.651  , 0.262   , 26.605  ,   0.0000
  180 , 9.162  , 34.401 , 1.538  , 0.264   , 26.623  ,   0.0000
  190 , 9.011  , 34.41  , 1.309  , 0.267   , 26.654  ,   0.0000
  200 , 8.921  , 34.423 , 1.203  , 0.261   , 26.679  ,   0.0000
  225 , 8.692  , 34.422 , 1.194  , 0.26    , 26.714  ,   0.0000
  250 , 8.382  , 34.402 , 1.383  , 0.262   , 26.746  ,   0.0000
  275 , 8.018  , 34.385 , 1.628  , 0.26    , 26.788  ,   0.0000
  300 , 7.816  , 34.38  , 1.763  , 0.259   , 26.814  ,   0.0000
  325 , 7.55   , 34.37  , 1.963  , 0.26    , 26.845  ,   0.0000
  350 , 7.101  , 34.323 , 2.608  , 0.26    , 26.872  ,   0.0000
  375 , 7.024  , 34.334 , 2.642  , 0.26    , 26.891  ,   0.0000
  400 , 6.745  , 34.315 , 3.017  , 0.26    , 26.914  ,   0.0000
  425 , 6.604  , 34.313 , 3.226  , 0.26    , 26.931  ,   0.0000
  450 , 6.439  , 34.3   , 3.537  , 0.26    , 26.944  ,   0.0000
  475 , 6.206  , 34.286 , 3.882  , 0.26    , 26.962  ,   0.0000
  500 , 6.063  , 34.275 , 4.159  , 0.26    , 26.972  ,   0.0000
  503 , 6.062  , 34.274 , 4.156  , 0.26    , 26.971  ,   0.0000
