RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.83  , 34.267 , 5.672  , 0.622   , 24.991  ,   0.0000
    2 , 16.839 , 34.266 , 5.653  , 0.607   , 24.989  ,   0.0000
    4 , 16.841 , 34.265 , 5.667  , 0.618   , 24.988  ,   0.0000
    5 , 16.841 , 34.266 , 5.656  , 0.651   , 24.988  ,   0.0000
    6 , 16.847 , 34.272 , 5.653  , 0.63    , 24.991  ,   0.0000
    8 , 16.682 , 34.309 , 5.666  , 0.665   , 25.058  ,   0.0000
   10 , 16.145 , 34.349 , 5.713  , 0.661   , 25.203  ,   0.0000
   12 , 15.53  , 34.373 , 5.723  , 0.874   , 25.369  ,   0.0000
   14 , 15.335 , 34.379 , 5.773  , 0.925   , 25.42   ,   0.0000
   15 , 15.221 , 34.382 , 5.811  , 1.053   , 25.444  ,   0.0000
   16 , 15.189 , 34.383 , 5.905  , 1.01    , 25.458  ,   0.0000
   18 , 14.911 , 34.376 , 6.442  , 1.199   , 25.525  ,   0.0000
   20 , 14.034 , 34.378 , 5.027  , 1.382   , 25.715  ,   0.0000
   22 , 12.068 , 34.379 , 4.78   , 1.26    , 26.038  ,   0.0000
   24 , 11.236 , 34.399 , 2.953  , 1.029   , 26.255  ,   0.0000
   25 , 11.224 , 34.396 , 2.187  , 1.039   , 26.264  ,   0.0000
   26 , 11.192 , 34.391 , 1.83   , 0.957   , 26.267  ,   0.0000
   28 , 11.111 , 34.41  , 1.75   , 0.902   , 26.294  ,   0.0000
   30 , 11.144 , 34.451 , 1.711  , 0.784   , 26.322  ,   0.0000
   35 , 11.098 , 34.481 , 0.996  , 0.423   , 26.355  ,   0.0000
   40 , 10.824 , 34.477 , 0.798  , 0.364   , 26.4    ,   0.0000
   45 , 10.781 , 34.496 , 0.316  , 0.328   , 26.423  ,   0.0000
   50 , 10.742 , 34.504 , 0.306  , 0.317   , 26.436  ,   0.0000
   60 , 10.693 , 34.53  , 0.323  , 0.306   , 26.464  ,   0.0000
   70 , 10.722 , 34.557 , 0.35   , 0.303   , 26.48   ,   0.0000
   75 , 10.681 , 34.56  , 0.31   , 0.3     , 26.49   ,   0.0000
   80 , 10.578 , 34.551 , 0.253  , 0.301   , 26.501  ,   0.0000
   90 , 10.539 , 34.576 , 0.203  , 0.295   , 26.528  ,   0.0000
  100 , 10.451 , 34.578 , 0.175  , 0.3     , 26.544  ,   0.0000
  120 , 10.422 , 34.604 , 0.061  , 0.289   , 26.57   ,   0.0000
  125 , 10.39  , 34.607 , 0.063  , 0.297   , 26.577  ,   0.0000
  140 , 10.367 , 34.603 , 0.063  , 0.292   , 26.578  ,   0.0000
  150 , 10.288 , 34.594 , 0.068  , 0.303   , 26.585  ,   0.0000
  160 , 10.261 , 34.595 , 0.061  , 0.299   , 26.591  ,   0.0000
  170 , 10.224 , 34.594 , 0.058  , 0.288   , 26.596  ,   0.0000
  175 , 10.218 , 34.593 , 0.064  , 0.286   , 26.597  ,   0.0000
  180 , 10.192 , 34.593 , 0.07   , 0.303   , 26.601  ,   0.0000
  190 , 10.134 , 34.59  , 0.085  , 0.291   , 26.608  ,   0.0000
  200 , 10.08  , 34.588 , 0.08   , 0.293   , 26.616  ,   0.0000
  225 , 9.958  , 34.58  , 0.109  , 0.283   , 26.631  ,   0.0000
  250 , 9.732  , 34.566 , 0.171  , 0.283   , 26.659  ,   0.0000
  275 , 9.341  , 34.546 , 0.337  , 0.283   , 26.708  ,   0.0000
  300 , 9.051  , 34.528 , 0.427  , 0.283   , 26.739  ,   0.0000
  325 , 8.596  , 34.497 , 0.693  , 0.282   , 26.788  ,   0.0000
  350 , 8.411  , 34.483 , 0.891  , 0.282   , 26.806  ,   0.0000
  375 , 8.238  , 34.471 , 1.022  , 0.282   , 26.823  ,   0.0000
  400 , 8.011  , 34.457 , 1.173  , 0.283   , 26.846  ,   0.0000
  425 , 7.767  , 34.441 , 1.398  , 0.282   , 26.869  ,   0.0000
  450 , 7.677  , 34.435 , 1.491  , 0.283   , 26.878  ,   0.0000
  475 , 7.489  , 34.423 , 1.641  , 0.282   , 26.896  ,   0.0000
  500 , 7.295  , 34.414 , 1.77   , 0.286   , 26.916  ,   0.0000
  503 , 7.296  , 34.413 , 1.79   , 0.282   , 26.915  ,   0.0000
