RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.552 , 34.087 , 5.963  , 0.372   , 24.924  ,   0.0000
    2 , 15.921 , 34.091 , 5.999  , 0.39    , 25.067  ,   0.0000
    4 , 15.386 , 34.081 , 6.096  , 0.398   , 25.188  ,   0.0000
    5 , 14.819 , 34.076 , 6.096  , 0.521   , 25.292  ,   0.0000
    6 , 14.704 , 34.075 , 6.211  , 0.722   , 25.327  ,   0.0000
    8 , 14.054 , 34.061 , 6.267  , 1.996   , 25.443  ,   0.0000
   10 , 13.853 , 34.056 , 6.054  , 3.254   , 25.488  ,   0.0000
   12 , 13.767 , 34.05  , 6.012  , 1.709   , 25.501  ,   0.0000
   14 , 13.674 , 34.046 , 6.02   , 3.656   , 25.517  ,   0.0000
   15 , 13.65  , 34.047 , 5.945  , 5.518   , 25.525  ,   0.0000
   16 , 13.607 , 34.05  , 5.911  , 5.868   , 25.535  ,   0.0000
   18 , 13.513 , 34.045 , 5.913  , 4.769   , 25.551  ,   0.0000
   20 , 13.38  , 34.04  , 5.969  , 5.809   , 25.57   ,   0.0000
   22 , 13.36  , 34.064 , 5.735  , 5.337   , 25.596  ,   0.0000
   24 , 13.337 , 34.067 , 5.734  , 4.081   , 25.602  ,   0.0000
   25 , 13.327 , 34.07  , 5.739  , 3.248   , 25.607  ,   0.0000
   26 , 13.32  , 34.073 , 5.737  , 2.951   , 25.611  ,   0.0000
   28 , 13.232 , 34.085 , 5.832  , 4.273   , 25.637  ,   0.0000
   30 , 13.162 , 34.084 , 5.864  , 3.113   , 25.651  ,   0.0000
   35 , 12.632 , 34.064 , 5.633  , 3.57    , 25.732  ,   0.0000
   40 , 12.321 , 34.076 , 5.428  , 2.005   , 25.81   ,   0.0000
   45 , 11.87  , 34.102 , 5.319  , 1.63    , 25.917  ,   0.0000
   50 , 11.668 , 34.17  , 4.885  , 0.324   , 26.005  ,   0.0000
   60 , 10.616 , 34.071 , 4.464  , 0.235   , 26.119  ,   0.0000
   70 , 10.948 , 34.254 , 3.106  , 0.221   , 26.204  ,   0.0000
   75 , 10.852 , 34.328 , 2.433  , 0.214   , 26.278  ,   0.0000
   80 , 10.794 , 34.348 , 2.159  , 0.214   , 26.305  ,   0.0000
   90 , 10.775 , 34.432 , 1.474  , 0.212   , 26.374  ,   0.0000
  100 , 10.806 , 34.484 , 1.151  , 0.221   , 26.409  ,   0.0000
  120 , 10.595 , 34.519 , 0.786  , 0.212   , 26.475  ,   0.0000
  125 , 10.49  , 34.516 , 0.805  , 0.211   , 26.489  ,   0.0000
  140 , 10.323 , 34.536 , 0.671  , 0.211   , 26.535  ,   0.0000
  150 , 10.194 , 34.539 , 0.546  , 0.212   , 26.558  ,   0.0000
  160 , 10.148 , 34.541 , 0.528  , 0.211   , 26.569  ,   0.0000
  170 , 10.035 , 34.545 , 0.501  , 0.211   , 26.591  ,   0.0000
  175 , 9.96   , 34.545 , 0.517  , 0.211   , 26.603  ,   0.0000
  180 , 9.844  , 34.534 , 0.579  , 0.211   , 26.614  ,   0.0000
  190 , 9.707  , 34.534 , 0.608  , 0.211   , 26.637  ,   0.0000
  200 , 9.69   , 34.551 , 0.538  , 0.211   , 26.655  ,   0.0000
  225 , 9.447  , 34.553 , 0.464  , 0.211   , 26.696  ,   0.0000
  250 , 9.212  , 34.542 , 0.524  , 0.211   , 26.726  ,   0.0000
  275 , 8.86   , 34.526 , 0.533  , 0.211   , 26.769  ,   0.0000
  300 , 8.548  , 34.497 , 0.73   , 0.211   , 26.794  ,   0.0000
  325 , 8.22   , 34.469 , 0.979  , 0.211   , 26.824  ,   0.0000
  350 , 7.798  , 34.433 , 1.377  , 0.211   , 26.858  ,   0.0000
  375 , 7.522  , 34.417 , 1.657  , 0.211   , 26.886  ,   0.0000
  400 , 7.237  , 34.407 , 1.823  , 0.211   , 26.918  ,   0.0000
  425 , 7.043  , 34.389 , 2.221  , 0.21    , 26.931  ,   0.0000
  450 , 6.811  , 34.369 , 2.601  , 0.211   , 26.948  ,   0.0000
  475 , 6.636  , 34.361 , 2.877  , 0.211   , 26.965  ,   0.0000
  500 , 6.455  , 34.345 , 3.159  , 0.211   , 26.976  ,   0.0000
  503 , 6.428  , 34.342 , 3.19   , 0.211   , 26.976  ,   0.0000
