RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.624 , 34.027 , 6.07   , 1.259   , 25.084  ,   0.0000
    2 , 15.622 , 34.027 , 6.062  , 1.411   , 25.085  ,   0.0000
    4 , 15.623 , 34.028 , 6.066  , 1.515   , 25.085  ,   0.0000
    5 , 15.624 , 34.029 , 6.068  , 1.493   , 25.085  ,   0.0000
    6 , 15.625 , 34.029 , 6.062  , 1.412   , 25.085  ,   0.0000
    8 , 15.405 , 34.027 , 6.103  , 1.444   , 25.146  ,   0.0000
   10 , 14.741 , 34.051 , 6.043  , 1.538   , 25.297  ,   0.0000
   12 , 14.417 , 34.04  , 6.065  , 1.461   , 25.356  ,   0.0000
   14 , 14.134 , 34.054 , 5.891  , 1.492   , 25.429  ,   0.0000
   15 , 13.973 , 34.07  , 5.703  , 1.505   , 25.479  ,   0.0000
   16 , 13.693 , 34.069 , 5.645  , 1.521   , 25.533  ,   0.0000
   18 , 13.176 , 34.07  , 5.536  , 1.496   , 25.631  ,   0.0000
   20 , 12.917 , 34.082 , 5.231  , 1.25    , 25.696  ,   0.0000
   22 , 12.571 , 34.101 , 4.998  , 0.87    , 25.784  ,   0.0000
   24 , 12.116 , 34.129 , 4.698  , 0.831   , 25.892  ,   0.0000
   25 , 11.844 , 34.136 , 4.498  , 0.746   , 25.947  ,   0.0000
   26 , 11.611 , 34.144 , 4.372  , 0.731   , 25.994  ,   0.0000
   28 , 11.424 , 34.153 , 4.201  , 0.759   , 26.037  ,   0.0000
   30 , 11.361 , 34.153 , 4.03   , 0.698   , 26.051  ,   0.0000
   35 , 11.025 , 34.17  , 3.811  , 0.517   , 26.124  ,   0.0000
   40 , 10.727 , 34.241 , 3.304  , 0.383   , 26.233  ,   0.0000
   45 , 10.676 , 34.269 , 2.787  , 0.302   , 26.264  ,   0.0000
   50 , 10.646 , 34.286 , 2.727  , 0.294   , 26.282  ,   0.0000
   60 , 10.386 , 34.308 , 2.711  , 0.282   , 26.343  ,   0.0000
   70 , 10.424 , 34.344 , 2.316  , 0.306   , 26.367  ,   0.0000
   75 , 10.587 , 34.411 , 1.831  , 0.298   , 26.39   ,   0.0000
   80 , 10.648 , 34.445 , 1.423  , 0.282   , 26.406  ,   0.0000
   90 , 10.641 , 34.492 , 0.906  , 0.282   , 26.446  ,   0.0000
  100 , 10.569 , 34.514 , 0.635  , 0.276   , 26.474  ,   0.0000
  120 , 10.404 , 34.523 , 0.526  , 0.266   , 26.51   ,   0.0000
  125 , 10.296 , 34.519 , 0.523  , 0.27    , 26.526  ,   0.0000
  140 , 9.986  , 34.498 , 0.598  , 0.273   , 26.562  ,   0.0000
  150 , 9.983  , 34.516 , 0.582  , 0.27    , 26.577  ,   0.0000
  160 , 9.947  , 34.529 , 0.374  , 0.261   , 26.594  ,   0.0000
  170 , 9.939  , 34.547 , 0.296  , 0.259   , 26.608  ,   0.0000
  175 , 9.919  , 34.547 , 0.272  , 0.261   , 26.612  ,   0.0000
  180 , 9.855  , 34.546 , 0.244  , 0.263   , 26.622  ,   0.0000
  190 , 9.842  , 34.55  , 0.241  , 0.261   , 26.628  ,   0.0000
  200 , 9.759  , 34.544 , 0.264  , 0.262   , 26.637  ,   0.0000
  225 , 9.495  , 34.525 , 0.387  , 0.26    , 26.665  ,   0.0000
  250 , 9.244  , 34.524 , 0.471  , 0.258   , 26.706  ,   0.0000
  275 , 8.947  , 34.507 , 0.556  , 0.258   , 26.74   ,   0.0000
  300 , 8.711  , 34.501 , 0.629  , 0.261   , 26.772  ,   0.0000
  325 , 8.468  , 34.486 , 0.75   , 0.259   , 26.798  ,   0.0000
  350 , 8.172  , 34.469 , 0.913  , 0.258   , 26.831  ,   0.0000
  375 , 7.856  , 34.441 , 1.272  , 0.258   , 26.856  ,   0.0000
  400 , 7.732  , 34.435 , 1.405  , 0.258   , 26.87   ,   0.0000
  425 , 7.423  , 34.411 , 1.78   , 0.258   , 26.895  ,   0.0000
  450 , 7.131  , 34.393 , 2.181  , 0.257   , 26.923  ,   0.0000
  475 , 6.874  , 34.371 , 2.481  , 0.258   , 26.94   ,   0.0000
  500 , 6.65   , 34.353 , 2.914  , 0.258   , 26.956  ,   0.0000
  502 , 6.637  , 34.352 , 2.935  , 0.257   , 26.957  ,   0.0000
