RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.598 , 33.996 , 6.021  , 0.693   , 25.066  ,   0.0000
    2 , 15.6   , 33.996 , 6.031  , 0.706   , 25.066  ,   0.0000
    4 , 15.598 , 33.996 , 6.018  , 0.746   , 25.066  ,   0.0000
    5 , 15.597 , 33.996 , 6.017  , 0.728   , 25.066  ,   0.0000
    6 , 15.601 , 33.996 , 6.021  , 0.868   , 25.065  ,   0.0000
    8 , 15.6   , 33.996 , 6.03   , 0.732   , 25.066  ,   0.0000
   10 , 15.577 , 33.994 , 6.019  , 0.722   , 25.071  ,   0.0000
   12 , 14.859 , 34.003 , 6.07   , 0.772   , 25.226  ,   0.0000
   14 , 14.271 , 34.051 , 6.007  , 0.959   , 25.394  ,   0.0000
   15 , 14.031 , 34.063 , 5.987  , 1.117   , 25.459  ,   0.0000
   16 , 13.705 , 34.084 , 5.954  , 1.061   , 25.534  ,   0.0000
   18 , 13.328 , 34.114 , 5.696  , 1.224   , 25.639  ,   0.0000
   20 , 12.971 , 34.117 , 5.728  , 0.951   , 25.71   ,   0.0000
   22 , 12.705 , 34.132 , 5.316  , 0.737   , 25.778  ,   0.0000
   24 , 12.616 , 34.139 , 5.307  , 0.804   , 25.801  ,   0.0000
   25 , 12.572 , 34.141 , 5.282  , 0.826   , 25.811  ,   0.0000
   26 , 12.544 , 34.142 , 5.257  , 0.742   , 25.817  ,   0.0000
   28 , 12.506 , 34.149 , 5.146  , 0.652   , 25.83   ,   0.0000
   30 , 12.448 , 34.172 , 5.079  , 0.598   , 25.86   ,   0.0000
   35 , 12.347 , 34.202 , 5.019  , 0.481   , 25.904  ,   0.0000
   40 , 11.863 , 34.165 , 4.892  , 0.319   , 25.968  ,   0.0000
   45 , 11.213 , 34.118 , 4.647  , 0.283   , 26.05   ,   0.0000
   50 , 11.026 , 34.134 , 4.355  , 0.27    , 26.097  ,   0.0000
   60 , 10.913 , 34.329 , 3.01   , 0.255   , 26.267  ,   0.0000
   70 , 10.612 , 34.358 , 2.462  , 0.248   , 26.344  ,   0.0000
   75 , 10.535 , 34.351 , 2.473  , 0.248   , 26.353  ,   0.0000
   80 , 10.451 , 34.342 , 2.455  , 0.252   , 26.361  ,   0.0000
   90 , 10.389 , 34.369 , 2.422  , 0.258   , 26.392  ,   0.0000
  100 , 10.37  , 34.421 , 1.568  , 0.251   , 26.437  ,   0.0000
  120 , 9.976  , 34.429 , 1.091  , 0.24    , 26.51   ,   0.0000
  125 , 9.92   , 34.44  , 1.017  , 0.236   , 26.529  ,   0.0000
  140 , 9.94   , 34.471 , 0.831  , 0.228   , 26.549  ,   0.0000
  150 , 10.002 , 34.514 , 0.639  , 0.234   , 26.573  ,   0.0000
  160 , 9.913  , 34.519 , 0.485  , 0.228   , 26.591  ,   0.0000
  170 , 9.809  , 34.504 , 0.496  , 0.231   , 26.596  ,   0.0000
  175 , 9.689  , 34.499 , 0.572  , 0.239   , 26.612  ,   0.0000
  180 , 9.657  , 34.494 , 0.57   , 0.227   , 26.614  ,   0.0000
  190 , 9.645  , 34.5   , 0.595  , 0.228   , 26.621  ,   0.0000
  200 , 9.611  , 34.508 , 0.57   , 0.227   , 26.632  ,   0.0000
  225 , 9.473  , 34.523 , 0.445  , 0.227   , 26.668  ,   0.0000
  250 , 9.123  , 34.492 , 0.6    , 0.228   , 26.701  ,   0.0000
  275 , 8.863  , 34.487 , 0.702  , 0.229   , 26.739  ,   0.0000
  300 , 8.791  , 34.504 , 0.63   , 0.231   , 26.763  ,   0.0000
  325 , 8.53   , 34.489 , 0.748  , 0.226   , 26.792  ,   0.0000
  350 , 8.283  , 34.471 , 0.921  , 0.226   , 26.816  ,   0.0000
  375 , 7.803  , 34.434 , 1.199  , 0.226   , 26.858  ,   0.0000
  400 , 7.478  , 34.407 , 1.807  , 0.226   , 26.884  ,   0.0000
  425 , 7.23   , 34.398 , 1.994  , 0.224   , 26.913  ,   0.0000
  450 , 7.027  , 34.376 , 2.337  , 0.227   , 26.924  ,   0.0000
  475 , 6.805  , 34.36  , 2.782  , 0.228   , 26.942  ,   0.0000
  500 , 6.611  , 34.349 , 3.049  , 0.226   , 26.959  ,   0.0000
  502 , 6.591  , 34.346 , 3.011  , 0.226   , 26.959  ,   0.0000
