RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 18.11  , 34.254 , 5.695  , 0.226   , 24.67   ,   0.0000
    2 , 18.179 , 34.254 , 5.687  , 0.255   , 24.658  ,   0.0000
    4 , 18.174 , 34.255 , 5.683  , 0.249   , 24.659  ,   0.0000
    5 , 18.171 , 34.256 , 5.677  , 0.251   , 24.66   ,   0.0000
    6 , 18.168 , 34.256 , 5.674  , 0.26    , 24.661  ,   0.0000
    8 , 18.158 , 34.257 , 5.686  , 0.257   , 24.665  ,   0.0000
   10 , 18.025 , 34.26  , 5.705  , 0.252   , 24.7    ,   0.0000
   12 , 17.853 , 34.258 , 5.724  , 0.273   , 24.74   ,   0.0000
   14 , 17.684 , 34.26  , 5.769  , 0.263   , 24.781  ,   0.0000
   15 , 17.601 , 34.261 , 5.786  , 0.252   , 24.803  ,   0.0000
   16 , 17.531 , 34.259 , 5.792  , 0.26    , 24.829  ,   0.0000
   18 , 16.867 , 34.256 , 5.811  , 0.315   , 24.978  ,   0.0000
   20 , 16.458 , 34.247 , 5.819  , 0.38    , 25.059  ,   0.0000
   22 , 16.296 , 34.23  , 5.816  , 0.415   , 25.097  ,   0.0000
   24 , 15.615 , 34.195 , 5.717  , 0.492   , 25.219  ,   0.0000
   25 , 15.117 , 34.162 , 5.643  , 0.543   , 25.301  ,   0.0000
   26 , 14.559 , 34.136 , 5.582  , 0.544   , 25.394  ,   0.0000
   28 , 14.165 , 34.12  , 5.305  , 0.661   , 25.474  ,   0.0000
   30 , 14.04  , 34.159 , 5.324  , 0.726   , 25.53   ,   0.0000
   35 , 13.815 , 34.186 , 5.565  , 0.916   , 25.602  ,   0.0000
   40 , 13.336 , 34.167 , 5.463  , 0.982   , 25.678  ,   0.0000
   45 , 12.763 , 34.16  , 5.144  , 0.5     , 25.789  ,   0.0000
   50 , 12.562 , 34.156 , 4.973  , 0.34    , 25.825  ,   0.0000
   60 , 12.211 , 34.164 , 4.83   , 0.242   , 25.9    ,   0.0000
   70 , 12.047 , 34.217 , 4.303  , 0.171   , 25.972  ,   0.0000
   75 , 12.039 , 34.248 , 4.184  , 0.164   , 25.997  ,   0.0000
   80 , 11.999 , 34.256 , 4.091  , 0.155   , 26.014  ,   0.0000
   90 , 11.716 , 34.254 , 3.777  , 0.136   , 26.064  ,   0.0000
  100 , 11.149 , 34.27  , 3.228  , 0.123   , 26.18   ,   0.0000
  120 , 11.215 , 34.496 , 1.496  , 0.12    , 26.343  ,   0.0000
  125 , 11.178 , 34.522 , 1.393  , 0.116   , 26.371  ,   0.0000
  140 , 11.021 , 34.575 , 0.839  , 0.113   , 26.44   ,   0.0000
  150 , 10.918 , 34.592 , 0.498  , 0.118   , 26.473  ,   0.0000
  160 , 10.837 , 34.624 , 0.33   , 0.117   , 26.512  ,   0.0000
  170 , 10.788 , 34.627 , 0.214  , 0.119   , 26.523  ,   0.0000
  175 , 10.779 , 34.631 , 0.209  , 0.118   , 26.528  ,   0.0000
  180 , 10.765 , 34.634 , 0.204  , 0.116   , 26.532  ,   0.0000
  190 , 10.634 , 34.641 , 0.189  , 0.117   , 26.561  ,   0.0000
  200 , 10.507 , 34.645 , 0.191  , 0.109   , 26.587  ,   0.0000
  225 , 10.314 , 34.639 , 0.179  , 0.105   , 26.616  ,   0.0000
  250 , 10.127 , 34.631 , 0.178  , 0.106   , 26.641  ,   0.0000
  275 , 10.023 , 34.619 , 0.211  , 0.105   , 26.65   ,   0.0000
  300 , 9.973  , 34.614 , 0.217  , 0.104   , 26.655  ,   0.0000
  325 , 9.861  , 34.601 , 0.271  , 0.105   , 26.665  ,   0.0000
  350 , 9.433  , 34.566 , 0.429  , 0.105   , 26.708  ,   0.0000
  375 , 9.35   , 34.562 , 0.426  , 0.105   , 26.718  ,   0.0000
  400 , 9.177  , 34.548 , 0.5    , 0.105   , 26.737  ,   0.0000
  425 , 9.044  , 34.538 , 0.549  , 0.105   , 26.749  ,   0.0000
  450 , 8.894  , 34.521 , 0.671  , 0.105   , 26.761  ,   0.0000
  475 , 8.681  , 34.505 , 0.434  , 0.105   , 26.781  ,   0.0000
  500 , 8.061  , 34.469 , 1.004  , 0.105   , 26.848  ,   0.0000
  504 , 7.94   , 34.462 , 1.21   , 0.105   , 26.86   ,   0.0000
